,percent_time_head_above_water,longest_time_head_underwater,average_forward_velocity
mean,25.086,18.669500000000003,0.03057226589609106
std,2.4731699692842986,0.5642951713456715,0.00993226433496316
median,25.6,18.6,0.03306015958294365
min,19.4,17.45,-0.03999150291184042
max,30.2,19.950000000000003,0.03764953678143536
