,percent_time_head_above_water,longest_time_head_underwater,average_forward_velocity
mean,1.9140000000000004,24.486500000000007,0.035174334000728384
std,1.0859078964608184,0.2947225197306166,0.007847861209574125
median,1.8,24.55,0.03255063880325901
min,0.6,22.5,0.027002937122243675
max,9.4,24.650000000000002,0.07278856649572903
