,percent_time_head_above_water,longest_time_head_underwater,average_forward_velocity
mean,24.276,18.869500000000002,0.02637291097819247
std,2.384254748778055,0.5460554139934111,0.015576683978449107
median,24.4,18.85,0.03165535990536261
min,18.8,17.650000000000002,-0.035088072968951736
max,29.4,20.1,0.04486154601248331
